epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.87909,0.96641,2.34806,1.28537,0.58285,0.85,0.87795,0.63384,1.64575,1.0287,1.37377,0,0,0
2,8.1615,1.25009,3.2679,1.64608,0.5892,0.85,0.84888,0.63049,1.67011,1.02304,1.38699,1.17822e-06,1.17822e-06,1.17822e-06
3,8.40771,1.35147,3.64012,1.61309,0.59036,0.85,0.8539,0.61727,1.68737,1.01506,1.39176,2.33288e-06,2.33288e-06,2.33288e-06
4,8.7127,1.02595,2.75445,1.27543,0.57799,0.85,0.85425,0.6345,1.68573,1.01376,1.38252,3.46397e-06,3.46397e-06,3.46397e-06
5,9.03219,1.33319,2.97664,1.62285,0.62193,0.92613,0.90685,0.64044,1.69278,1.01743,1.38005,4.5715e-06,4.5715e-06,4.5715e-06
6,9.35699,0.94782,2.26847,1.21861,0.56457,0.85,0.85658,0.63605,1.67776,1.01947,1.3702,5.65548e-06,5.65548e-06,5.65548e-06
7,9.67742,1.40269,3.84168,1.75096,0.55553,0.85087,0.85941,0.62909,1.67935,1.02012,1.36862,6.71588e-06,6.71588e-06,6.71588e-06
8,10.0822,1.44007,3.97888,1.813,0.56725,0.85336,0.86062,0.62925,1.70387,1.03741,1.38104,7.75273e-06,7.75273e-06,7.75273e-06
9,10.4419,1.3612,2.85922,1.47374,0.55028,0.86399,0.85978,0.62905,1.70311,1.05152,1.37753,8.76602e-06,8.76602e-06,8.76602e-06
10,10.7578,1.30145,2.48368,1.62762,0.56102,0.86591,0.85895,0.62847,1.69322,1.04723,1.37039,9.75574e-06,9.75574e-06,9.75574e-06
11,11.0739,1.14068,1.79052,1.38455,0.58105,0.85849,0.81272,0.60632,1.69564,1.04804,1.37217,1.07219e-05,1.07219e-05,1.07219e-05
12,11.4255,1.33257,2.76219,1.52985,0.57384,0.86174,0.85554,0.63232,1.69354,1.0533,1.36941,1.16645e-05,1.16645e-05,1.16645e-05
13,11.7505,1.01834,2.54704,1.37098,0.5816,0.86667,0.88727,0.64187,1.69299,1.06107,1.36876,1.25835e-05,1.25835e-05,1.25835e-05
14,12.0795,1.22921,2.17026,1.52268,0.59335,0.86667,0.88719,0.64223,1.69351,1.06589,1.37099,1.3479e-05,1.3479e-05,1.3479e-05
15,12.4886,1.21081,2.82652,1.50623,0.58962,0.86667,0.8875,0.64212,1.67873,1.06319,1.36011,1.43509e-05,1.43509e-05,1.43509e-05
16,12.8519,1.03442,2.15034,1.39089,0.5871,0.86667,0.88669,0.64181,1.68527,1.06571,1.36315,1.51993e-05,1.51993e-05,1.51993e-05
17,13.202,1.05447,2.74697,1.37897,0.57255,0.86667,0.89528,0.64594,1.68936,1.06952,1.36216,1.60241e-05,1.60241e-05,1.60241e-05
18,13.5302,0.9013,2.40225,1.31179,0.57255,0.86667,0.89528,0.64594,1.68936,1.06952,1.36216,1.68253e-05,1.68253e-05,1.68253e-05
19,13.837,1.02913,1.80191,1.50153,0.58835,0.86667,0.87966,0.62177,1.7069,1.09986,1.37276,1.7603e-05,1.7603e-05,1.7603e-05
